# Station list for La Habra
# From Fabio, 07/02/20
# Swap column 1 and 3 from la_habra_v20_07_1.stl
# StationId Lon Lat Vs30(m/s) HP_Freq(Hz) LP_Freq(Hz)
CI_Q0013 -118.06000 34.54000 360.00 0.1625 8.0000
CI_Q0014 -118.39700 34.27700 387.00 0.1250 8.0000
CI_Q0016 -117.56500 33.84300 360.00 0.1250 8.0000
CI_Q0018 -117.95300 33.69600 234.00 0.1250 8.0000
CI_Q0020 -116.95300 33.96000 407.00 0.1625 8.0000
CI_Q0021 -118.05400 33.72300 232.00 0.1250 8.0000
CI_Q0022 -117.50100 33.77000 418.00 0.1250 8.0000
CI_Q0023 -117.57600 33.95500 422.00 0.1250 8.0000
CI_Q0026 -117.56900 33.64300 437.00 0.1250 8.0000
CI_Q0028 -117.18100 33.83100 421.00 0.1625 8.0000
CI_Q0029 -117.74800 33.72700 387.00 0.1250 8.0000
CI_Q0034 -117.65500 33.69000 494.00 0.1250 8.0000
CI_Q0035 -118.20400 34.46600 429.00 0.3750 8.0000
CI_Q0038 -117.42800 33.73100 429.00 0.1250 8.0000
CI_Q0041 -117.42800 34.17200 387.00 0.1250 8.0000
CI_Q0042 -117.65800 33.92600 458.00 0.1250 8.0000
CI_Q0046 -117.65100 34.14500 367.00 0.1250 8.0000
CI_Q0048 -117.80300 33.77200 423.00 0.1250 8.0000
CI_Q0049 -117.12600 34.19700 593.00 0.1250 8.0000
CI_Q0057 -118.47700 34.18800 319.00 0.1625 8.0000
CI_Q0063 -118.26800 34.08000 428.00 0.1625 8.0000
CI_Q0066 -117.77700 33.89900 396.00 0.1250 8.0000
CI_Q0067 -117.99100 33.94700 451.00 0.1250 8.0000
CI_Q0074 -118.37300 33.88600 418.00 0.1250 8.0000
CI_RIN -118.47925 34.28196 333.00 0.1250 8.0000
CI_RIO -117.97956 34.10473 474.00 0.1250 8.0000
CI_RSS -117.32674 33.97327 358.00 0.1250 8.0000
CI_RUS -118.08078 34.05075 346.00 0.1250 8.0000
CI_RVR -117.37545 33.99351 640.00 0.1250 8.0000
CI_SAN -117.88578 33.70432 222.00 0.1250 8.0000
CI_SBPX -117.23484 34.23240 418.00 0.1250 8.0000
CI_SDD -117.66171 33.55259 412.00 0.1250 8.0000
CI_SMF2 -118.44600 34.02200 362.00 0.1250 8.0000
CI_SOF -117.55700 33.37100 443.00 0.1250 8.0000
CI_SRN -117.78938 33.82854 261.00 0.1250 8.0000
CI_STG -117.76856 33.66400 274.00 0.1250 8.0000
CI_STS -118.19878 33.79033 246.00 0.1250 8.0000
CI_SVD -117.09822 34.10647 510.00 0.1250 8.0000
CI_TA2 -117.67822 34.38203 607.00 0.1250 8.0000
CI_USC -118.28631 34.01919 350.00 0.1250 8.0000
CI_WLT -117.95077 34.00948 265.00 0.1250 8.0000
CI_WSS -118.64971 34.17170 324.00 0.1250 8.0000
CI_WTT2 -118.25500 33.94900 266.00 0.1250 8.0000
NP_707 -117.44900 33.85400 533.00 0.3750 8.0000
