CS_Short_Name CS_Site_Lon CS_Site_Lat Run_ID
s632 -117.76313 33.58753 4610
s634 -117.71004 33.66602 4611
s636 -117.65685 33.7445 4612
s638 -117.60357 33.82295 4613
s640 -117.55019 33.90137 4614
s642 -117.49671 33.97978 4615
s644 -117.44314 34.05816 4616
s646 -117.38947 34.13652 4617
s647 -117.36259 34.17569 4618
s648 -117.3357 34.21485 4619
s650 -117.28183 34.29316 4620
s660 -117.5299 33.83989 4621
s666 -117.36923 34.07501 4622
s668 -117.31548 34.15333 4623
s674 -117.66938 33.5431 4624
s676 -117.61622 33.62155 4625
s678 -117.56298 33.69999 4626
s680 -117.50964 33.7784 4627
s682 -117.4562 33.85679 4628
s684 -117.40266 33.93515 4289
s686 -117.34903 34.01349 4629
s688 -117.2953 34.09181 4630
s689 -117.2684 34.13096 4631
s690 -117.24147 34.1701 4632
s692 -117.18754 34.24837 4633
s710 -117.22133 34.10857 4634
s716 -117.57572 33.49859 4635
s718 -117.52251 33.57701 4636
s720 -117.4692 33.65541 4637
s722 -117.4158 33.73378 4638
s724 -117.3623 33.81213 4639
s726 -117.30871 33.89045 4640
s728 -117.25502 33.96875 4641
s730 -117.20123 34.04703 4642
s731 -117.17429 34.08616 4643
s732 -117.14734 34.12528 4644
s734 -117.09335 34.20351 4645
s758 -117.53532 33.37562 4290
s760 -117.48215 33.45402 4646
s762 -117.42888 33.5324 4647
s764 -117.37552 33.61075 4648
s765 -117.3488 33.64992 4649
s766 -117.32206 33.68909 4650
s768 -117.26851 33.76739 4651
s770 -117.21485 33.84568 4652
s772 -117.1611 33.92394 4653
s774 -117.10725 34.00218 4654
s776 -117.05331 34.08039 4655
s778 -116.99926 34.15858 4656
s794 -117.11418 33.90151 4657
s795 -117.08726 33.94062 4658
SABD -117.86778 33.754112 4375
SBSM -117.29201 34.064986 4291
SGCD -117.8625 34.2058 4376
SGRTT -117.9495 34.1321 4377
SLVW -117.34775 34.29296 4378
SMCA -118.48939 34.00909 4292
STG -117.76856 33.664 4379
STNI -118.17881 33.93088 4285
SVD -117.09822 34.10647 4380
TAB -117.68191 34.38245 4381
TRA -118.3393 33.804 4382
UCR -117.31636 33.96425 4383
USC -118.286 34.0192 4384
WNGC -118.0653 34.041824 4293
WSS -118.64971 34.1717 4385
